memory,storage,selling_price_dolar
12,512,3
8,128,3
12,256,3
12,256,3
12,128,3
8,128,3
4,64,2
6,64,3
6,64,3
4,64,3
3,32,2
3,32,2
8,256,3
8,256,3
8,128,3
8,128,3
6,128,3
3,32,2
2,16,1
3,32,2
3,32,2
2,32,2
2,32,1
2,16,1
2,16,2
2,8,1
4,64,2
2,16,1
3,16,2
1,8,1
1,8,1
2,16,2
2,16,1
4,128,3
6,64,3
8,256,3
6,128,3
4,64,3
6,64,3
6,64,3
4,64,3
4,64,3
4,64,2
3,32,3
3,32,2
3,32,2
2,32,3
3,32,2
3,32,2
1,8,1
2,32,1
2,32,1
1,8,1
3,32,2
2,16,1
3,32,2
3,32,2
2,16,1
3,16,2
2,16,3
1,8,1
1,8,1
2,16,2
2,32,1
1,8,1
2,16,1
4,64,3
6,64,3
3,32,2
3,32,3
2,32,1
3,32,2
3,32,2
3,32,3
2,16,2
3,16,2
1,8,1
3,16,2
3,32,2
2,16,3
1,8,1
1,8,1
1,8,1
2,16,1
8,256,3
6,128,3
6,64,3
4,64,2
3,32,2
8,256,3
6,128,3
3,16,1
2,16,2
1,8,1
1,8,1
1,8,1
12,256,3
4,64,3
6,64,3
3,32,3
8,128,3
2,16,1
3,32,2
2,16,1
3,16,2
2,16,3
1,8,1
1,8,1
2,16,1
4,64,3
1,8,1